Feature,Data_Type,Category,Sub_Category,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947
BRD-K01737880 (CTRP:438345),num,Drug Screen,CTD2,,,,12.154,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD-K44224150 (CTRP:438564),num,Drug Screen,CTD2,,,,,,,,,15.076,14.814,,15.217,15.137,15,,,,,,15,,,,,,,,,16.242,
BRD-K75293299 (CTRP:438691),num,Drug Screen,CTD2,,,,,,,,,14.563,14.917,,15.64,13.965,15,,,,,,14.72,,,,,,,,,15,
BRD-K64610608 (CTRP:438776),num,Drug Screen,CTD2,14.706,14.99,15.3385,14.83,14.725,14.55,14.547,14.811,15.26,15.656,14.872,14.699,13.836,15.328,16.339,16.332,16.951,14.568,14.9,14.39,14.887,14.958,15.159,15,,13.19,17.348,14.913,15.617,15
BRD-K09344309 (CTRP:439882),num,Drug Screen,CTD2,,,17.349,,,,,,,,14.955,,,,14.931,14.233,,15,15.197,,,14.545,,16.001,17.214,13.134,15.075,,,15.874
BRD-K02251932 (CTRP:442141),num,Drug Screen,CTD2,14.525,15.324,14.3005,14.692,14.265,14.868,14.208,14.905,15.113,14.78,14.713,14.488,15.622,15.294,14.992,14.798,14.73,,,14.517,14.186,,14.995,14.884,14.209,11.308,15.231,14.595,15.527,15.199
BRD-K55116708 (CTRP:444779),num,Drug Screen,CTD2,14.309,15.296,16.604,11.975,16.783,14.497,15.759,14.998,12.898,13.009,,12.625,13.064,14.93,13.084,13.75,14.823,12.582,11.145,14.02,15,13.891,15,12.157,11.068,12.152,12.568,15,13.757,
NSC23766 (CTRP:44503),num,Drug Screen,CTD2,14.267,14.929,13.0655,9.648,13.47,14.919,10.276,12.976,14.294,12.744,13.159,12.785,13.162,14.708,14.691,13.212,10.61,13.028,13.046,14.523,12.742,14.775,14.583,12.167,14.359,14.043,13.91,14.908,14.598,12.951
PYRAZOLANTHRONE (CTRP:44511),num,Drug Screen,CTD2,14.88,13.13,14.4,13.792,13.997,14.304,14.574,14.749,14.616,13.994,13.974,13.617,14.527,15.515,13.615,14.112,15.128,14.357,12.222,13.424,13.81,14.574,14.872,14.071,14.319,13.921,13.981,14.621,14.526,14.397
C6-CERAMIDE (CTRP:44554),num,Drug Screen,CTD2,15.372,15,14.9325,15.217,14.504,14.849,13.825,15.457,14.669,14.714,12.685,14.866,14.084,14.916,14.708,16.338,13.98,14.179,13.519,14.561,15,14.568,14.427,14.34,15.488,15.743,14.241,15.319,14.847,15.331
TOPOTECAN (CTRP:44580),num,Drug Screen,CTD2,6.0902,,11.3165,6.7663,10.771,11.316,9.1576,10.399,8.5299,12.101,7.4702,11.48,13.271,11.118,8.526,11.054,11.663,11.035,6.9409,10.253,8.219,10.126,7.8752,8.2481,11.853,9.3987,10.134,,9.7097,9.0984
BRD-K41334119 (CTRP:446546),num,Drug Screen,CTD2,,,,,,,,,14.682,14.889,,15.435,13.935,15,,,,,,14.612,,,,,,,,,15.493,
BRD-K34485477 (CTRP:446716),num,Drug Screen,CTD2,,,,,,,,,14.933,14.325,,14.877,15.003,15.052,,,,,,16.62,,,,,,,,,15.613,
BRD-K16147474 (CTRP:447732),num,Drug Screen,CTD2,15.814,15.553,14.655,,15.736,14.958,14.637,15,14.625,14.283,15.098,14.565,14.465,14.719,15.274,14.656,15.471,14.882,15,14.268,15.292,14.704,15.082,14.611,14.299,14.937,14.462,16.086,14.779,14.825
BRD-K29086754 (CTRP:448891),num,Drug Screen,CTD2,,,,,,,,,14.822,14.758,,14.771,14.592,15,,,,,,13.763,,,,,,,,,15.578,
BRD-K33199242 (CTRP:449707),num,Drug Screen,CTD2,14.777,14.975,14.8255,14.803,15.659,14.966,14.855,14.673,14.836,14.378,15.962,14.579,14.565,14.662,15.334,14.033,14.698,15.23,15.519,13.686,14.788,15.397,14.52,15.648,15.4,15,14.931,15.725,14.967,15.594
BRD-K52037352 (CTRP:450415),num,Drug Screen,CTD2,15.364,14.904,14.182,,15.542,15,12.13,14.928,14.726,14.752,14.829,15.226,13.709,14.91,15,13.462,14.047,14.794,14.542,14.668,15.242,14.884,15.469,15.458,14.589,14.796,14.673,,15.176,14.972
N9-ISOPROPYLOLOMOUCINE (CTRP:45093),num,Drug Screen,CTD2,13.633,13.95,13.3505,11.697,13.822,13.592,13.348,14.747,13.535,14.321,11.959,12.532,12.941,14.547,12.42,12.274,12.478,13.64,11.565,12.826,12.625,14.269,14.238,13.292,13.599,12.937,14.495,13.844,14.164,12.96
BRD-K27986637 (CTRP:452570),num,Drug Screen,CTD2,,,,,,,,,15.263,15.144,,15.637,14.677,15.862,,,,,,14.91,,,,,,,,,16.211,
BRD-K37390332 (CTRP:463198),num,Drug Screen,CTD2,14.832,15.204,14.8805,14.702,15.701,14.696,13.438,14.988,14.753,14.419,14.982,14.775,15.009,15.87,14.929,15.901,14.396,16.928,14.682,16.873,14.143,15.106,15.266,14.892,16.475,14.932,14.954,16.036,15.723,15
TANDUTINIB (CTRP:464458),num,Drug Screen,CTD2,12.247,13.92,13.941,11.369,12.692,14.067,12.357,14.559,14.726,14.933,13.079,14.09,14.53,15.492,14.271,14.187,11.844,14.887,13.267,15,12.564,14.356,11.571,14.1,14.758,14.099,15.39,13.492,15.112,13.593
FULVESTRANT (CTRP:464880),num,Drug Screen,CTD2,,,,,,,,,14.244,14.168,,15.243,12.842,15.02,,,,,,13.978,,,,,,,,,15.074,
BAFILOMYCIN A1 (CTRP:467037),num,Drug Screen,CTD2,,,,10.415,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPORTAZOLE (CTRP:46792),num,Drug Screen,CTD2,,15.979,12.8775,9.5703,14.364,14.29,11.236,14.787,14.671,14.18,11.613,14.654,13.51,14.672,14.48,15,13.375,14.476,10.55,15.295,12.64,14.722,11.147,13.345,14.797,13.361,15.964,14.902,14.665,11.687
ISONICOTINOHYDROXAMIC ACID (CTRP:478694),num,Drug Screen,CTD2,14.484,15.195,15.7235,14.653,14.557,,15.709,14.923,,,15,,,,15.526,14.373,14.587,16.037,15.351,,14.32,14.437,15,16.377,17.1,13.867,15.649,,,15.984
HLI 373 (CTRP:481311),num,Drug Screen,CTD2,14.343,14.733,14.299,12.074,13.972,14.406,11.197,14.623,14.195,14.279,14.186,13.932,14.464,14.446,13.801,14.161,13.387,13.827,13.503,14.38,13.001,14.79,13.879,13.351,13.74,14.506,13.845,14.647,14.458,13.798
ETOPOSIDE (CTRP:48589),num,Drug Screen,CTD2,10.187,13.232,14.047,9.6549,13.074,14.462,13.417,12.771,12.996,13.831,12.598,13.934,14.765,14.105,12.642,13.683,14.183,14.914,8.1715,13.829,13.02,14.105,13.491,11.458,13.327,12.463,13.134,14.781,13.976,11.588
PRIMA-1 (CTRP:50131),num,Drug Screen,CTD2,12.086,13.112,13.3015,11.236,13.299,14.393,14.213,14.716,12.194,11.492,13.011,13.297,14.733,11.489,13.326,11.946,11.152,12.562,11.64,13.361,14.445,13.744,15.466,12.244,11.659,13.618,13.435,11.305,12.152,11.827
17-AAG (CTRP:50134),num,Drug Screen,CTD2,12.485,11.384,13.797,9.5794,11.066,12.821,12.827,7.3471,12.173,14.469,9.8924,11.951,12.805,14.011,10.021,11.755,13.848,12.161,8.4401,12.782,8.8412,9.6006,13.275,9.9947,13.787,9.375,11.754,8.7708,12.649,9.673
BLEBBISTATIN (CTRP:50140),num,Drug Screen,CTD2,,,,,,,,,14.818,14.486,,15.012,15.123,15.056,,,,,,14.67,,,,,,,,,15.021,
CYTOCHALASIN B (CTRP:50163),num,Drug Screen,CTD2,13.272,13.965,12.0445,13.636,13.12,13.47,13.289,13.314,13.734,13.883,12.394,14.153,14.051,14.716,13.428,12.404,13.737,13.598,12.153,12.715,12.647,12.716,13.657,13.036,13.238,14.245,13.18,13.103,15.748,14.162
NSC95397 (CTRP:50715),num,Drug Screen,CTD2,13.62,14.752,14.0955,13.086,14.667,14.577,14.826,14.666,14.295,13.317,14.056,14.165,14.489,13.853,13.665,13.737,14.851,14.094,,13.96,14.286,12.933,14.937,14.49,13.161,,13.893,13.686,13.495,13.496
MANUMYCIN A (CTRP:50727),num,Drug Screen,CTD2,13.728,14.322,14.396,12.073,14.502,14.713,12.198,14.389,15.086,13.804,11.87,13.714,14.646,13.326,11.661,14.378,14.355,13.888,11.724,13.7,14.034,12.666,14.905,13.113,12.486,13.886,14.97,,12.765,11.842
MITOMYCIN (CTRP:50732),num,Drug Screen,CTD2,8.8009,10.741,13.906,9.1988,11.252,14.226,11.658,11.831,11.542,12.277,13.652,11.774,13.278,13.24,10.018,13.608,11.89,13.057,9.8729,10.261,9.5628,13.209,8.8826,10.815,14.301,13.044,13.886,9.8412,11.442,13.256
TACROLIMUS (CTRP:50737),num,Drug Screen,CTD2,14.286,14.702,14.5775,14.145,14.788,14.821,14.467,14.861,15.194,15.335,14.024,13.23,14.093,15.305,13.097,14.675,14.914,14.247,13.137,13.999,12.606,14.726,14.599,13.111,11.952,13.734,14.348,13.64,14.545,13.397
PIFITHRIN-ALPHA (CTRP:50747),num,Drug Screen,CTD2,13.357,14.75,14.428,13.667,14.725,14.877,12.966,14.696,14.735,14.998,13.798,15.057,14.073,14.239,14.53,10.818,12.975,14.898,13.318,12.854,13.03,14.371,14.305,14.278,14.78,14.383,13.957,,12.189,14.618
SB-431542 (CTRP:50753),num,Drug Screen,CTD2,15.007,14.794,15.0485,14.154,14.638,14.878,12.611,14.697,15.139,14.959,14.681,14.79,13.403,14.612,14.869,13.065,14.436,14.807,14.589,14.6,13.517,14.802,14.592,14.705,14.841,14.887,14.782,14.7,15.358,15.263
STAUROSPORINE (CTRP:50769),num,Drug Screen,CTD2,,,,,,,,,14.448,14.171,,14.526,14.027,15.602,,,,,,14.419,,,,,,,,,14.745,
SB-225002 (CTRP:52123),num,Drug Screen,CTD2,11.709,13.578,12.9705,11.922,14.313,12.978,13.217,14.371,13.272,14.763,12.567,12.368,13.883,13.972,13.028,15,12.845,13.211,10.521,14.283,13.05,13.449,12.426,12.399,13.038,10.937,13.915,12.83,13.568,12.773
PD 153035 (CTRP:52133),num,Drug Screen,CTD2,14.287,14.838,14.159,13.87,13.469,14.203,15.636,15.183,,,14.548,,,,14.526,12.334,12.124,15.461,13.938,,13.751,14.79,14.99,13.056,10.757,14.925,13.377,,,14.801
CERULENIN (CTRP:52430),num,Drug Screen,CTD2,12.778,14.409,12.9575,11.69,13.146,13.74,13.433,14.144,13.463,12.877,13.095,13.011,13.503,14.049,13.564,,12.908,12.765,11.83,13.612,13.155,13.425,14.348,12.592,12.303,12.801,14.267,13.356,13.674,12.767
PURMORPHAMINE (CTRP:52576),num,Drug Screen,CTD2,14.176,14.048,14.412,13.746,14.821,12.863,12.547,13.406,15,14.711,14.067,16.517,13.395,15.549,14.648,13.601,,15,12.382,14.272,14.628,14.757,13.73,15.381,15.667,12.325,15.55,13.774,14.178,14.984
GSK-3 INHIBITOR IX (CTRP:52582),num,Drug Screen,CTD2,13.686,12.371,13.705,11.807,11.798,12.971,10.466,13.704,12.59,14.706,11.903,12.016,12.523,12.236,12.702,13.182,13.137,12.174,12.151,11.969,12.015,13.169,12.058,12.213,12.79,13.205,12.282,,12.77,13.03
DASATINIB (CTRP:52882),num,Drug Screen,CTD2,12.329,8.1641,7.86075,11.717,10.065,11.845,7.8906,11.616,7.9088,11.67,9.7855,8.9469,10.391,9.5067,7.6966,5.628,10.341,9.4071,10.41,8.2767,9.6357,9.625,10.593,7.0649,7.6477,8.3387,8.5603,9.3227,13.201,13.284
GEFITINIB (CTRP:52926),num,Drug Screen,CTD2,14.141,14.216,12.907,11.646,14.146,16.352,13.448,14.264,11.25,12.353,12.137,12.489,12.35,15.127,13.11,10.864,9.4267,13.897,12.189,11.184,12.252,13.109,12.907,12.03,9.5471,12.302,12.662,14.214,15.45,12.396
ERLOTINIB (CTRP:52928),num,Drug Screen,CTD2,12.075,15.094,12.904,12.468,14.094,14.62,14.535,13.986,11.731,14.17,13.42,11.456,14.394,12.883,13.434,12.829,12.849,14.25,13.118,12.446,13.386,13.592,13.558,13.236,11.761,11.793,13.198,17.441,13.531,14.03
BRD-K94991378 (CTRP:53556),num,Drug Screen,CTD2,14.481,14.218,14.399,14.426,13.87,15,14.167,13.748,13.696,13.552,12.072,14.41,14.694,14.33,11.793,16.736,12.336,14.388,14.206,13.808,14.701,12.632,11.383,12.654,12.355,12.409,15.921,,9.582,14.842
BIX-01294 (CTRP:53705),num,Drug Screen,CTD2,14.62,14.653,12.801,11.441,13.298,14.505,12.69,14.22,13.667,14.127,13.439,13.232,14.087,14.603,14.245,12.874,11.749,14.04,14.04,14.379,13.241,14.062,13.12,13.497,13.461,14.264,13.964,,13.968,13.269
TACEDINALINE (CTRP:54200),num,Drug Screen,CTD2,14.017,14.472,13.2915,,14.281,13.891,14.089,13.94,,,14.365,,,,14.236,14.501,13.609,13.715,12.703,,12.597,13.618,14.644,14.056,13.234,13.984,14.803,14.8,,13.989
LBH-589 (CTRP:54210),num,Drug Screen,CTD2,4.8712,9.3106,3.86955,3.4223,7.3991,7.3433,8.9983,5.9378,6.6056,8.2413,6.5047,5.6783,7.7361,6.9877,6.8806,5.1548,3.5202,7.91,4.4964,5.1951,7.4064,5.753,7.7492,7.8892,6.3915,6.656,6.8973,7.6664,6.1412,4.2876
IC-87114 (CTRP:55307),num,Drug Screen,CTD2,14.937,15,15.0415,14.563,15.554,15.884,16.926,14.51,14.806,12.788,14.978,15.352,14.39,15.33,14.803,14.017,15.813,14.837,14.858,14.055,16.18,14.936,14.309,14.55,14.432,16.442,14.878,,15,16.173
CICLOSPORIN (CTRP:55512),num,Drug Screen,CTD2,14.193,14.922,14.756,14.176,15,17.224,13.546,14.991,15.278,15,14.455,14.572,14.7,14.704,14.941,15.734,14.548,14.282,,14.853,14.124,15,14.18,14.999,14.1,14.85,14.973,11.189,15.666,15
MK-0683 (CTRP:56554),num,Drug Screen,CTD2,12.38,14.527,11.3035,11.108,13.396,12.92,14.29,12.859,12.624,13.323,12.289,11.606,12.67,13.718,12.084,12.234,11.476,13.185,10.931,12.61,11.665,11.872,13.11,12.271,11.44,12.35,12.341,13.713,12.045,11.107
AY-22989 (CTRP:56703),num,Drug Screen,CTD2,10.258,13.242,10.8311,8.4283,12.77,10.878,9.6399,12.873,12.99,12.791,9.8659,10.226,12.914,12.908,13.1,13.336,9.7198,10.386,6.1318,10.727,10.694,13.787,14.536,9.9022,9.9799,12.353,12.695,12.213,15.72,7.0698
MIRA 1 (CTRP:580922),num,Drug Screen,CTD2,15.332,15,13.114,13.999,14.801,14.454,14.714,14.741,,,14.365,,,,14.6,,13.21,13.824,13.538,,14.103,14.816,15.407,14.41,13.15,15.592,14.308,,,13.269
KU-55933 (CTRP:58339),num,Drug Screen,CTD2,14.509,14.572,13.678,13.599,14.376,13.632,14.308,14.496,13.82,12.465,13.856,14.264,13.353,14.405,13.419,13.818,14.202,14.436,12.424,12.943,14.406,14.035,14.581,13.929,13.258,14.15,14.606,14.118,14.344,13.804
SITAGLIPTIN (CTRP:58442),num,Drug Screen,CTD2,,,,,,,,,14.444,14.115,,15.486,14.771,,,,,,,14.922,,,,,,,,,,
AM-580 (CTRP:58455),num,Drug Screen,CTD2,13.023,13.892,14.56,13.201,14.535,16.658,14.277,14.373,14.757,13.486,12.09,14.59,13.708,15.309,14.928,14.856,14.495,14.853,11.555,14.711,11.687,15,12.106,15.913,14.061,12.911,13.963,12.968,15.427,15
PDMP (CTRP:58472),num,Drug Screen,CTD2,13.513,13.841,12.8875,12.23,13.747,13.372,13.368,13.235,14.225,14.195,12.64,14.198,14.256,14.261,13.795,16.047,13.497,15.924,12.069,13.75,13.641,14.582,13.227,13.167,12.857,13.151,13.7,13.942,13.824,13.216
BRD-K71935468 (CTRP:58566),num,Drug Screen,CTD2,14.498,14.94,14.341,,13.757,15.385,13.837,12.343,13.55,11.943,12.249,12.791,14.708,14.731,12.151,14.982,12.405,14.197,13.529,11.965,13.419,12.701,12.699,12.665,12.448,12.025,14.181,15.437,11.576,15.421
LLL CPD (CTRP:58948),num,Drug Screen,CTD2,11.765,11.876,11.161,,12.111,10.845,12.377,11.185,,,,,,,,,10.698,,,,10.657,,12.434,,,,,10.564,,
NSC48300 (CTRP:594399),num,Drug Screen,CTD2,13.827,14.544,14.3965,13.197,14.744,14.357,15.095,14.929,14.51,12.346,14.468,11.592,14.481,13.015,14.568,15.447,14.323,14.764,11.788,14.838,12.225,14.656,14.809,13.314,14.365,14.383,14.913,14.381,14.571,13.562
PRIMA-1-MET (CTRP:594663),num,Drug Screen,CTD2,,,14.587,,,,,,14.632,14.775,14.899,14.879,14.794,14.979,14.312,14.251,,14.367,13.781,14.923,,14.39,,14.314,14.396,15.176,14.466,,15.828,14.38
ISOEVODIAMINE (CTRP:594664),num,Drug Screen,CTD2,11.126,13.445,12.493,12.435,14.008,12.964,10.625,13.935,13.479,14.463,13.346,11.581,13.591,14.169,13.484,11.878,12.934,13.812,10.806,13.73,11.549,13.48,12.605,12.22,12.801,12.114,13.432,,13.826,12.842
UNC 0683 (CTRP:594665),num,Drug Screen,CTD2,14.279,14.575,13.104,12.327,12.814,16.687,13.112,14.215,13.77,14.713,13.841,13.849,13.838,15.513,14.431,12.848,11.549,14.24,14.32,14.427,13.723,14.728,13.949,13.241,14.179,14.738,14.69,14.502,15.654,13.876
CUCURBITACIN I (CTRP:595102),num,Drug Screen,CTD2,10.949,9.1013,9.1586,7.8166,9.318,8.9748,4.0925,8.9367,8.3582,9.1243,10.489,8.56,9.3353,8.7957,12.395,10.723,6.2929,8.0612,9.1672,11.437,6.0014,12.372,7.3777,8.4538,8.2518,10.829,11.435,9.2591,12.386,11.889
BRD-K50799972 (CTRP:596868),num,Drug Screen,CTD2,15.624,15.489,14.3025,14.221,16.397,15.844,15.486,14.967,14.478,13.441,14.37,14.636,13.974,14.422,14.301,14.537,15,13.881,14.4,13.498,14.221,14.523,15.057,14.066,14.196,14.678,14.679,16.066,15,14.176
BRD-K17060750 (CTRP:600054),num,Drug Screen,CTD2,15.642,15.638,14.526,17.235,15.469,14.753,12.102,14.884,14.778,15.059,15.369,15,14.105,15.278,14.867,14.436,13.504,14.581,15.366,14.851,14.574,14.864,15,14.783,14.879,15,14.651,16.204,15.897,15.299
BARASERTIB (CTRP:601923),num,Drug Screen,CTD2,12.649,15.554,13.1865,9.8401,14.562,15,14.443,15.225,13.947,13.334,14.071,14.275,14.055,14.993,12.568,14.39,14.426,14.363,7.4188,14.568,13.526,14.407,15.11,8.154,14.344,14.644,14.195,,14.19,11.577
ENTINOSTAT (CTRP:60218),num,Drug Screen,CTD2,11.872,14.296,10.854,11.647,13.578,11.593,14.315,12.002,12.113,13.17,11.992,10.004,13.572,12.813,12.041,13.893,10.961,12.212,9.7715,12.687,12.057,12.502,13.06,13.115,6.9075,12.069,13.506,13.537,12.235,12.232
BELINOSTAT (CTRP:60225),num,Drug Screen,CTD2,8.0219,12.393,8.932,9.4014,11.66,9.1914,12.72,10.308,,,,,,,,,8.7788,,,,11.63,,10.886,,,,,9.3774,,
ABT 869 (CTRP:606033),num,Drug Screen,CTD2,13.101,13.725,12.7165,11.847,13.111,12.016,13.528,12.978,13.326,12.614,12.666,12.653,13.217,14.195,12.815,13.9,11.88,12.811,11.522,12.985,12.813,12.857,12.514,11.958,12.798,13.021,13.773,13.929,12.939,11.489
ABT 888 (CTRP:606034),num,Drug Screen,CTD2,14.712,15.56,14.035,14.693,14.96,14.599,14.356,15,14.364,14.679,14.801,15.174,14.013,8.1062,14.468,15.352,14.352,12.925,14.521,14.141,14.856,15.308,15,13.491,14.033,15.869,14.247,17.039,15,14.389
AZ-10353926 (CTRP:606035),num,Drug Screen,CTD2,14.704,13.023,11.9745,13.25,13.65,14.523,12.864,14.925,12.039,13.595,13.668,13.243,11.941,12.613,12.747,10.938,12.91,14.643,14.709,10.682,13.651,13.732,13.122,12.154,10.714,13.753,12.029,13.298,14.194,14.334
AFATINIB (CTRP:606135),num,Drug Screen,CTD2,12.542,12.838,9.75075,10.51,10.786,12.266,10.893,11.889,8.9212,9.8428,10.412,10.672,9.6849,10.321,11.765,8.9902,8.885,9.7511,11.208,9.9963,12.097,11.844,12.471,9.528,8.1594,12.726,10.848,12.536,13.16,
AZD 2171 (CTRP:606136),num,Drug Screen,CTD2,11.569,12.421,11.179,10.592,12.321,11.705,10.991,12.775,,,,,,,,,11.25,,,,12.29,,11.61,,,,,,,
CANERTINIB (CTRP:606138),num,Drug Screen,CTD2,11.923,14.342,13.3235,15.378,11.648,12.672,13.327,14.668,12.649,13.636,11.334,12.885,13.701,13.26,14.252,9.0825,12.033,14.078,10.564,13.3,13.044,14.362,12.873,12.786,9.3422,13.081,12.889,13.401,13.304,13.834
GX15-070 (CTRP:606142),num,Drug Screen,CTD2,9.247,10.614,7.34415,6.4436,10.972,9.0703,9.7237,11.503,8.5215,9.2563,7.5318,8.526,8.877,11.553,9.0149,9.4686,7.6388,7.8836,7.2013,9.546,10.481,8.5697,8.4149,10.546,9.9139,8.3469,10.855,10.536,11.169,8.0662
AB1010 (CTRP:606143),num,Drug Screen,CTD2,13.307,14.202,12.9335,,13.957,14.41,13.029,14.16,14.262,13.531,12.539,13.549,13.323,13.802,14.232,14.095,13.626,13.593,12.599,13.625,13.69,13.684,14.633,13.535,13.523,13.339,14.355,,14.062,12.855
KIN001-167 (CTRP:606144),num,Drug Screen,CTD2,12.466,14.619,11.4285,11.78,12.102,11.52,12.475,15,14.225,12.562,13.163,12.21,11.378,11.425,12.894,13.402,10.265,14.489,7.4858,10.612,10.995,13.6,13.008,10.479,12.344,12.26,13.559,15.529,14.613,11.295
BRIVANIB (CTRP:606246),num,Drug Screen,CTD2,12.646,14.945,15.6735,13.662,16.765,16.615,16.515,14.584,14.127,14.536,13.831,13.915,16.037,13.23,14.017,15.066,14.638,14.201,12.04,14.439,13.974,13.851,14.638,14.682,17.218,12.74,14.998,15,13.544,14.708
GDC-0879 (CTRP:606248),num,Drug Screen,CTD2,14.614,15.865,16.5975,14.919,15.891,17.423,15.706,13.524,14.821,15.334,13.349,14.705,14.663,15,12.847,14.305,12.714,15,13.397,14.784,12.791,15.493,15.527,15.357,16.458,13.232,15.298,15,14.105,18.264
NVP-TAE 684 (CTRP:606249),num,Drug Screen,CTD2,11.17,15.322,9.9551,9.8382,12.204,11.843,9.1526,12.565,13.476,11.006,11.495,12.299,11.801,12.162,11.565,12.43,11.683,10.463,9.8955,12.201,10.57,13.229,11.188,9.8344,10.063,11.61,11.525,,12.95,11.831
SNS-032 (CTRP:606254),num,Drug Screen,CTD2,8.4787,13.124,9.58915,5.782,11.253,7.6551,5.8239,12.444,10.122,10.152,9.2363,8.591,10.64,,11.49,10.366,5.8512,8.8652,6.2353,11.502,8.9799,12.196,13.49,9.6479,11.686,9.3029,12.311,11.354,,7.6818
PLX 4720 (CTRP:606256),num,Drug Screen,CTD2,15.662,15.503,14.0915,14.262,14.804,14.117,14.151,14.941,14.931,15.038,14.001,14.495,14.764,15.236,14.139,16.74,15.719,15.069,14.182,13.669,12.658,14.741,15.611,14.109,14.099,14.507,14.033,14.452,13.902,17.651
TGX 221 (CTRP:606356),num,Drug Screen,CTD2,14.473,14.43,13.3495,14.165,14.697,11.87,14.648,14.665,13.821,12.105,14.307,14.388,13.245,14.828,14.253,11.344,12.585,12.791,12.583,13.06,15.383,14.042,14.766,13.41,12.546,14.094,14.368,,15.32,14.077
KU-0063794 (CTRP:606363),num,Drug Screen,CTD2,12.575,14.354,12.6045,10.46,12.679,11.769,13.044,13.114,13.735,11.483,10.925,10.885,13.146,13.157,11.923,14.419,11.087,11.79,8.6847,11.515,12.567,13.754,12.64,13.199,13.142,10.286,12.843,,14.018,9.366
TG-100-115 (CTRP:606470),num,Drug Screen,CTD2,11.544,15.643,13.74,14.284,14.684,13.998,14.884,14.336,14.227,13.739,14.87,14.686,14.338,14.817,14.725,12.451,13.729,13.829,13.155,14.399,15.621,14.032,15.476,12.809,14.055,14.598,14.131,14.939,15.175,13.966
GSK1059615 (CTRP:606471),num,Drug Screen,CTD2,10.374,13.733,10.72,11.417,11.691,10.246,11.064,12.159,,,11.702,,,,10.742,9.5489,11.176,,7.6678,,10.852,13.387,11.496,10.771,8.6695,11.339,10.584,12.57,,10.995
SU-11274 (CTRP:606586),num,Drug Screen,CTD2,13.528,13.072,14.248,12.771,15,16.92,15.22,13.61,15.093,14.867,12.505,14.26,14.826,14.906,13.178,14.636,14.811,14.712,11.133,14.286,16.077,14.596,13.924,12.965,14.785,11.828,15.784,13.118,14.758,13.65
BRD-K88742110 (CTRP:606670),num,Drug Screen,CTD2,14.571,14.892,14.191,13.516,14.7,15.486,14.68,14.303,14.926,14.169,14.109,14.808,13.549,13.298,14.741,16.246,14.09,14.295,12.396,14.416,15,13.703,14.698,14.616,14.825,12.003,15.473,,14.8,14.385
BEC (CTRP:60679),num,Drug Screen,CTD2,,,,,,,,,14.329,15.069,,15.299,14.583,14.778,,,,,,14.744,,,,,,,,,14.849,
LRRK2-IN-1 (CTRP:607696),num,Drug Screen,CTD2,13.213,14.858,13.447,11.066,13.81,13.511,14.023,14.3,,,14.095,,,,13.63,10.259,12.493,14.248,12.702,,14.514,14.603,14.264,12.825,12.689,13.8,13.186,14.784,,12.999
BRD8899 (CTRP:608062),num,Drug Screen,CTD2,15,14.501,14.0325,15.046,15,14.774,14.315,14.972,14.836,14.932,15.818,15,15.002,16.286,14.673,14.797,14.798,14.213,15.18,15,14.405,15.105,14.618,14.005,13.999,15,14.407,15,15.892,14.901
EX 527 (CTRP:608999),num,Drug Screen,CTD2,14.709,14.921,15.4005,14.933,14.453,14.038,13.64,13.779,15.316,14.899,14.786,14.754,14.978,15.482,14.863,18.615,13.267,14.783,14.596,16.033,15.452,14.564,15,16.597,17.352,13.765,16.926,14.976,14.841,15.529
ELCPK (CTRP:609056),num,Drug Screen,CTD2,,,11.48,,,,,,13.492,14.421,13.329,12.586,14.131,13.521,13.841,15,,13.544,,13.976,,14.236,,12.087,12.234,12.833,13.641,,13.694,13.246
NPC-26 (CTRP:609058),num,Drug Screen,CTD2,14.712,16.31,14.8965,15.217,15.814,15,12.154,15.087,15.003,15.303,12.16,14.887,14.606,15,15.332,12.693,16.029,14.954,13.565,15.217,14.235,15.405,14.816,15.364,16.096,14.767,15.613,17.2,,15.215
"1S,3R-RSL-3 (CTRP:609060)",num,Drug Screen,CTD2,8.2086,8.5919,5.40315,5.2811,5.4445,10.725,11.273,11.431,5.2321,7.6325,5.5375,2.9627,8.8211,5.5369,5.2229,4.5288,8.0066,5.7135,8.7715,4.598,2.6621,8.0753,9.9202,11.638,5.4717,4.5567,9.7802,4.2174,4.5486,2.3444
CIL55A (CTRP:609061),num,Drug Screen,CTD2,,,10.888,,,,,,12.402,12.651,11.389,11.384,12.712,12.138,11.713,11.513,,12.108,12.212,11.503,,11.843,,12.139,12.192,12.233,12.568,,11.528,11.463
SCH-529074 (CTRP:609062),num,Drug Screen,CTD2,13.28,13.412,12.705,11.345,13.484,13.362,12.363,13.288,12.784,12.756,12.357,12.463,13.25,13.257,13.231,13.257,12.332,,,12.685,12.541,,13.486,12.534,12.736,,13.454,,12.763,12.333
